Id,Label,0,1,2,indegree,outdegree,degree,modularity_class,eigencentrality,stat_inf_class,componentnumber,strongcompnum
55569752100,55569752100,João T. de Carvalho Neto,1,false,8,31,39,4,0.040186,6,0,1168
57222475483,57222475483,Fernanda M. De Almeida,1,false,6,0,6,4,0.038905,6,0,1167
57210358887,57210358887,Everton José de Castro Rego,1,false,7,4,11,11,0.08913,4,0,1112
56414005500,56414005500,Jan Erik Mont Gomery Pinto,1,false,8,3,11,11,0.099709,4,0,1111
57210360183,57210360183,Amanda Danielle Oliveira da Silva Dantas,1,false,9,2,11,11,0.111362,4,0,1110
59275099200,59275099200,J. T.L.S. Campos,1,false,10,12,22,5,0.124181,16,0,1109
57210356686,57210356686,Andre Felipe Oliveira de Azevedo Dantas,1,false,11,0,11,11,0.138262,4,0,1108
56022652300,56022652300,Amanda D. O. S. Dantas,1,false,5,7,12,5,0.050933,35,0,1044
56532488400,56532488400,Leandro Luttiane da Silva Linhares,1,false,3,3,6,5,0.030665,35,0,1043
35316777100,35316777100,FABIO MENEGHETTI UGULINO DE ARAUJO,12,true,14,72,86,0,0.09921,8,0,1038
57211301002,57211301002,Daniel Guerra Vale da Fonseca,1,false,5,1,6,5,0.047648,35,0,1037
58827742400,58827742400,André Felipe Oliveira de Azevedo Dantas,1,false,7,15,22,11,0.078135,35,0,1036
57209644863,57209644863,Joacy L. Freitas,1,false,2,3,5,4,0.019701,6,0,1165
58293875500,58293875500,Rhaclley F. De Araújo,1,false,3,2,5,4,0.022806,6,0,1164
34880784300,34880784300,Rodrigo Kuntz Rangel,1,false,6,11,17,4,0.037279,6,0,1163
56219894500,56219894500,Adhemar De Barros Fontes,1,false,5,0,5,4,0.031862,6,0,1162
57226264508,57226264508,Vilmar Antonio Rodrigues,1,false,4,9,13,4,0.032852,6,0,1161
54906949200,54906949200,Lennedy C. Soares,1,false,3,2,5,4,0.026674,6,0,1160
7005447974,7005447974,Adelardo A.D. Medeiros,1,false,5,19,24,3,0.054923,37,0,1159
36162878800,36162878800,Teófilo Miguel de Souza,1,false,7,1,8,4,0.048355,6,0,1158
59333406600,59333406600,A. E.S. Costa,1,false,2,7,9,4,0.021116,6,0,1157
57226558248,57226558248,André F.O. de A. Dantas,1,false,3,5,8,4,0.024396,6,0,1156
57189226611,57189226611,Emanoel R.Q. Chaves,1,false,4,4,8,4,0.028134,6,0,1155
59333393500,59333393500,J. V.S. Silva,1,false,5,4,9,4,0.03238,6,0,1154
57212024822,57212024822,Gabriel Pereira de Oliveira,1,false,8,12,20,4,0.046696,6,0,1153
58795612700,58795612700,Aziz O. Bissiriou,1,false,8,10,18,4,0.04697,6,0,1152
7004083401,7004083401,Ricardo Pinheiro,1,false,11,15,26,4,0.05771,6,0,1151
57203129495,57203129495,Alan Cassio Queiroz Bezerra Leite,1,false,6,5,11,4,0.044226,6,0,1150
57205882639,57205882639,Kennedy Lopes,1,false,3,8,11,4,0.027832,6,0,1149
57205881924,57205881924,Bernardo Lima,1,false,4,7,11,4,0.031921,6,0,1148
57163638400,57163638400,Carla W. S. P. Maitelli,1,false,7,16,23,4,0.046054,6,0,1147
57208146695,57208146695,Verivan Santos Lima,1,false,8,5,13,4,0.05256,6,0,1146
36682132200,36682132200,Diego Antonio de Moura Fonsêca,1,false,12,28,40,4,0.077967,6,0,1145
57211355517,57211355517,German A.Echaiz Espinoza,1,false,13,9,22,4,0.080655,6,0,1133
57205887841,57205887841,Ana Andrade,1,false,9,2,11,4,0.071579,6,0,1129
55361069800,55361069800,Elmer R.L. Villarreal,1,false,20,36,56,4,0.124948,6,0,1128
59158142700,59158142700,Werbet Silva,1,false,14,8,22,4,0.109481,6,0,1127
16028948300,16028948300,Javad Mohammadpour Velni,1,false,10,7,17,4,0.071252,6,0,1126
35304519900,35304519900,Alberto Berzoy,1,false,12,10,22,4,0.096774,6,0,1125
57209269711,57209269711,Farid Khalizheli,1,false,6,2,8,4,0.052542,6,0,1123
24725329000,24725329000,João Nascimento,1,false,7,1,8,4,0.059439,6,0,1122
7005990055,7005990055,Carlos Restrepo,1,false,8,0,8,4,0.067124,6,0,1121
57880003000,57880003000,Darwin Rafael Goncalves Valente,1,false,4,4,8,4,0.031372,6,0,1120
26648296900,26648296900,I. Gil,1,false,5,3,8,4,0.03594,6,0,1119
55851946978,55851946978,G. Rodríguez,1,false,6,2,8,4,0.041093,6,0,1118
35503770600,35503770600,A. Orjuela,1,false,7,1,8,4,0.046889,6,0,1117
54963266000,54963266000,F. Cordoba,1,false,8,0,8,4,0.05339,6,0,1116
57476970500,57476970500,Thiago Figueiredo Do Nascimento,1,false,13,34,47,4,0.085711,6,0,1107
57655209200,57655209200,Evandro A.D.F. Nunes,1,false,8,9,17,4,0.0512,6,0,1106
57204577471,57204577471,Richard Liou,1,false,5,1,6,4,0.048097,6,0,1105
6603109043,6603109043,Antonio Ginart,1,false,6,0,6,4,0.054438,6,0,1104
8260817700,8260817700,L. Donadio,1,false,2,4,6,4,0.016114,6,0,1103
9737697300,9737697300,J.M.S. Ferreira,1,false,4,6,10,4,0.025118,6,0,1102
9733669800,9733669800,F.E.F. Castro,1,false,5,5,10,4,0.029093,6,0,1101
57203121220,57203121220,Evandro A.F. Nunes,1,false,6,7,13,4,0.049981,6,0,1046
7004060971,7004060971,M. Zucca,1,false,6,0,6,4,0.034022,6,0,1045
57203596999,57203596999,Wenzhan Song,1,false,6,0,6,4,0.033201,6,0,1124
35762972500,35762972500,José Paiva,1,false,5,6,11,4,0.04902,6,0,1100
57215357215,57215357215,Francisco Elvis Carvalho Souza,1,false,3,2,5,4,0.022529,6,0,1094
56785091400,56785091400,Jefferson D. Fernandes,1,false,6,4,10,4,0.054249,6,0,1093
57215362614,57215362614,Glauco George Cipriano Maniçoba,1,false,5,0,5,4,0.032956,6,0,1092
57216837381,57216837381,Rodrigo De Andrade Teixeira,1,false,14,12,26,4,0.117492,6,0,1067
57194058482,57194058482,Werbet Luiz Almeida Da Silva,1,false,8,13,21,4,0.056134,6,0,1066
